Hours,COM,MFH,SFH,APPRT
4127,0.029419318019688973,0.046007098491570544,0.01856014825557973,0.01856014825557973
4128,0.031131402482522472,0.04514936409346347,0.022288695512045764,0.022288695512045764
4129,0.03514053359965758,0.04020999704229518,0.023636290387559423,0.023636290387559423
4130,0.040918818661720646,0.04686483288967761,0.03521875755378294,0.03521875755378294
4131,0.059552004565558564,0.11462585034013606,0.06742808798646362,0.06742808798646362
4132,0.07243544014838066,0.19398107068914522,0.1546229151559101,0.1546229151559101
4133,0.11108574689684692,0.21023365868086363,0.19113085166384658,0.19113085166384658
4134,0.12077329148237981,0.20708370304643597,0.1772419627749577,0.1772419627749577
4135,0.1150663432729348,0.18206152026027805,0.14351986141326242,0.14351986141326242
4136,0.10108432015979454,0.17830523513753327,0.14074208363548465,0.14074208363548465
4137,0.09009844485661293,0.1624667258207631,0.11956127628716462,0.11956127628716462
4138,0.07657297760022827,0.15258799171842652,0.11020264281685602,0.11020264281685602
4139,0.07302040233984877,0.1536083998816918,0.1006043026347595,0.1006043026347595
4140,0.06075046368954201,0.13470866607512572,0.08949319152364837,0.08949319152364837
4141,0.05431587958339278,0.13385093167701864,0.08536781887035694,0.08536781887035694
4142,0.04989299472107291,0.12262644188110028,0.08314398517444202,0.08314398517444202
4143,0.04999286631473819,0.12450458444247264,0.09242808798646363,0.09242808798646363
4144,0.05338850049935797,0.13454599230996747,0.0978265248569817,0.0978265248569817
4145,0.05009273790840348,0.14936409346347235,0.10639150753363952,0.10639150753363952
4146,0.057197888429162506,0.1621413782904466,0.11932156957537668,0.11932156957537668
4147,0.053645313168782995,0.1762644188110027,0.12130569655950367,0.12130569655950367
4148,0.05745470109858753,0.17218278615794144,0.10282007896221095,0.10282007896221095
4149,0.04728206591525182,0.139648033126294,0.06989162839416646,0.06989162839416646
4150,0.033785133399914395,0.08584738243123335,0.03038232213359117,0.03038232213359117
4151,0.021443857896989584,0.03049393670511683,0.008407863991620338,0.008407863991620338
4152,0.029676130689113997,0.029636202307009762,0.011739585851260977,0.011739585851260977
4153,0.04168925666999572,0.02759538598047915,0.010945935057610184,0.010945935057610184
4154,0.05582822085889571,0.02743271221532091,0.019593505761018454,0.019593505761018454
4155,0.0836638607504637,0.08070097604259095,0.04418862299572959,0.04418862299572959
4156,0.10791839064060495,0.14164448388050874,0.11496454757876079,0.11496454757876079
4157,0.0765016407476102,0.1376072167997634,0.15321690435903634,0.15321690435903634
4158,0.09025538593237267,0.1547471162377995,0.13972484086697284,0.13972484086697284
4159,0.058838636039377945,0.1326234841762792,0.10893763596809282,0.10893763596809282
4160,0.054287344842345556,0.13176574977817215,0.10615985819031505,0.10615985819031505
4161,0.050378085318875734,0.12172434191067733,0.09005519297397471,0.09005519297397471
4162,0.04350121272649451,0.11286601597160603,0.08870759809846104,0.08870759809846104
4163,0.041789128263661005,0.11286601597160603,0.08125050358552896,0.08125050358552896
4164,0.037366243401341134,0.09976338361431529,0.07053621787124326,0.07053621787124326
4165,0.03601084320159795,0.09992605737947353,0.06641084521795182,0.06641084521795182
4166,0.03307176487373377,0.08870156758355516,0.062045765852872456,0.062045765852872456
4167,0.030004280211157083,0.09057971014492754,0.07093304326806865,0.07093304326806865
4168,0.03820801826223427,0.09772256728778467,0.07886955120457659,0.07886955120457659
4169,0.03797974033385647,0.10964211771665189,0.08235839174925469,0.08235839174925469
4170,0.04007704380082751,0.11560189293108548,0.09021231165901217,0.09021231165901217
4171,0.04876587244970752,0.12972493345164152,0.09219643864313916,0.09219643864313916
4172,0.05441575117705807,0.1256433007985803,0.07624889211183628,0.07624889211183628
4173,0.04117563133114567,0.10180419994084591,0.049190234469422285,0.049190234469422285
4174,0.027935511485233273,0.06061816030760131,0.02023003786963178,0.02023003786963178
4175,0.014823797974033385,0.022656018929310854,0.003331721859640641,0.003331721859640641
4176,0.025866742759309457,0.021798284531203787,0.004125372653291435,0.004125372653291435
4177,0.025381652161506636,0.019757468204673174,0.0029348964628152442,0.0029348964628152442
4178,0.02832073048937081,0.02061520260278024,0.00944122149705906,0.00944122149705906
4179,0.04672563846483093,0.06706595681750961,0.028166545806139715,0.028166545806139715
4180,0.08576116421743474,0.11829340431824906,0.09053460639755057,0.09053460639755057
4181,0.10733342844913682,0.1007837917775806,0.13521070018531947,0.13521070018531947
4182,0.11198459123983451,0.1284974859509021,0.11957739102409153,0.11957739102409153
4183,0.07333428449136825,0.10927240461401952,0.0895838369188623,0.0895838369188623
4184,0.06597232130118419,0.11131322094055013,0.08680605914108452,0.08680605914108452
4185,0.06413183050363819,0.10229222123632062,0.07617436145354928,0.07617436145354928
4186,0.05628477671565131,0.09531203785862172,0.07696801224720007,0.07696801224720007
4187,0.05260379512055928,0.09531203785862172,0.07244581419708324,0.07244581419708324
4188,0.03787986874019118,0.08322981366459627,0.05919345741680767,0.05919345741680767
4189,0.036524468540447996,0.08527062999112689,0.05506808476351624,0.05506808476351624
4190,0.032971893280068484,0.07506654835847383,0.050703005398436876,0.050703005398436876
4191,0.027450420887430445,0.07302573203194322,0.059590282813633065,0.059590282813633065
4192,0.029904408617491798,0.08016858917480037,0.07006486181613085,0.07006486181613085
4193,0.03174489941503781,0.08918958887902988,0.06808073483200387,0.06808073483200387
4194,0.040947353402767867,0.09616977225672879,0.0733965836757715,0.0733965836757715
4195,0.04879440719075474,0.10637385388938184,0.07538071065989849,0.07538071065989849
4196,0.04033385647025253,0.10229222123632062,0.0649061316574007,0.0649061316574007
4197,0.03616778427735769,0.08527062999112689,0.03824429941181211,0.03824429941181211
4198,0.02083036096447425,0.049881691807157645,0.012218999274836839,0.012218999274836839
4199,0.007718647453274361,0.015838509316770187,0.0003968253968253968,0.0003968253968253968
4200,0.018148095306035096,0.0178793256433008,0.0015873015873015873,0.0015873015873015873
4201,0.01998858610358111,0.015838509316770187,0.0029348964628152442,0.0029348964628152442
4202,0.021215579968611783,0.012777284826974267,0.0065063250342438156,0.0065063250342438156
4203,0.04084748180910259,0.05632948831706596,0.022693578277334623,0.022693578277334623
4204,0.08098159509202454,0.10073942620526471,0.07879502054628959,0.07879502054628959
4205,0.10097018119560565,0.08322981366459627,0.12013939247441788,0.12013939247441788
4206,0.10206876872592383,0.11384205856255546,0.10236483764402546,0.10236483764402546
4207,0.07249250963047511,0.09563738538893819,0.07784425106760132,0.07784425106760132
4208,0.06513054644029106,0.0976782017154688,0.07506647328982355,0.07506647328982355
4209,0.06329005564274504,0.08763679384797397,0.06697284666827814,0.06697284666827814
4210,0.05482950492224283,0.08355516119491276,0.0652284263959391,0.0652284263959391
4211,0.04992152946212013,0.08457556935817806,0.0632442994118121,0.0632442994118121
4212,0.03629619061207019,0.07147293700088732,0.050785593425187334,0.050785593425187334
4213,0.03187330574975032,0.07453416149068323,0.04880146644106036,0.04880146644106036
4214,0.027093736624340135,0.06433007985803017,0.04229514140681653,0.04229514140681653
4215,0.022057354829504924,0.062289263531499564,0.05118241882201273,0.05118241882201273
4216,0.02279925809673277,0.06943212067435671,0.06086334703085973,0.06086334703085973
4217,0.025253245826794123,0.07845312037858622,0.059276045443558134,0.059276045443558134
4218,0.034455699814524184,0.08151434486838213,0.06459189428732576,0.06459189428732576
4219,0.03923526893993437,0.09273883466430051,0.06617919587462735,0.06617919587462735
4220,0.03138821515194749,0.08865720201123928,0.05610144226895496,0.05610144226895496
4221,0.027222142959052648,0.07453416149068323,0.03237450648618161,0.03237450648618161
4222,0.013111713511199885,0.03914522330671399,0.009284102812021595,0.009284102812021595
4223,0.004779569125410187,0.010899142265601893,0.0003968253968253968,0.0003968253968253968
4224,0.015209016978170925,0.01396036675539781,0.0011904761904761906,0.0011904761904761906
4225,0.017049507775716937,0.009020999704229518,0.0003968253968253968,0.0003968253968253968
4226,0.018276501640747612,0.0059597752144336,0.003968253968253968,0.003968253968253968
4227,0.03729490654872307,0.048491570541259986,0.01975868181451938,0.01975868181451938
4228,0.07914110429447853,0.09000295770482106,0.0670554346950286,0.0670554346950286
4229,0.09619061207019547,0.06959479443951493,0.10506808476351624,0.10506808476351624
4230,0.09790269653302897,0.09918663117420883,0.09236967206510353,0.09236967206510353
4231,0.06600085604223142,0.08388050872522922,0.0686427362823302,0.0686427362823302
4232,0.0592523897845627,0.08592132505175984,0.06586495850455241,0.06586495850455241
4233,0.057411898987016693,0.07587991718426501,0.058168157279832405,0.058168157279832405
4234,0.050663432729347986,0.0728186926944691,0.058961808073483196,0.058961808073483196
4235,0.04636895420174062,0.0728186926944691,0.05697768108935622,0.05697768108935622
4236,0.031031530888857184,0.06363501922508134,0.04451897510273145,0.04451897510273145
4237,0.023669567698673136,0.06669624371487726,0.04293167351542987,0.04293167351542987
4238,0.021215579968611783,0.052573203194321204,0.0385665941503505,0.0385665941503505
4239,0.014467113710943074,0.0515527950310559,0.044915800499556846,0.044915800499556846
4240,0.017534598373519762,0.06159420289855073,0.05205865764241399,0.05205865764241399
4241,0.01998858610358111,0.06669624371487726,0.05300942712110225,0.05300942712110225
4242,0.028577543158795835,0.07077787636793847,0.05578720489888003,0.05578720489888003
4243,0.031031530888857184,0.08098195800059155,0.057374506486181615,0.057374506486181615
4244,0.026123555428734485,0.0769003253475303,0.047296752880509225,0.047296752880509225
4245,0.021957483235839636,0.06567583555161197,0.026504713560551126,0.026504713560551126
4246,0.007847053787986873,0.03130730553090802,0.006349206349206349,0.006349206349206349
